PHONE_NUMBER,PHONE_LINE_TYPE,PHONE_COMPANY,PHONE_LOCATION,FAKE_NUMBER,FAKE_REASON
6127181490,CELL PHONE,VERIZON,"BLOOMINGTON, MN",,
6515281979,CELL PHONE,T-MOBILE,"SAINT PAUL, MN",,
8007181490,TOLL-FREE,UNKNOWN,UNITED STATES,,
6127160268,CELL PHONE,VERIZON,"BLOOMINGTON, MN",,
2115528206,FAKE,,,YES,AREA CODE 211 IS NOT VALID
7635528206,LANDLINE,WINDSTREAM,"CAMBRIDGE, MN",,
8881230175,FAKE,,,YES,PREFIX 123 IS NOT VALID
9524657768,CELL PHONE,T-MOBILE,"PRIOR LAKE, MN",,
8883256879,TOLL-FREE,UKNOWN,UNITED STATES,,
7135745287,VOIP,LEVEL 3 COMMUNICATIONS,"HOUSTON, TX",,
9510001234,FAKE,,,YES,PREFIX 000 IS NOT VALID
